 Destination Port, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
80,67499,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,177.7804116,29.63006859,67499.0,0.0,67499,67499,67499,67499.0,0.0,67499,67499,0,0.0,0.0,0,0,0,0,0,0,40,0,29.63006859,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,0,2,12,0,0,253,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
54716,4,2,0,31,0,31,0,15.5,21.92031022,0,0,0.0,0.0,7750000.0,500000.0,4.0,0.0,4,4,4,4.0,0.0,4,4,0,0.0,0.0,0,0,1,0,0,0,64,0,500000.0,0.0,0,31,20.66666667,17.89785834,320.3333333,0,1,0,0,1,0,0,0,0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,110,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
22,166,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,12048.19277,166.0,0.0,166,166,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,6024.096386,6024.096386,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,290,243,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
137,20,13,0,650,0,50,50,50.0,0.0,0,0,0.0,0.0,32500000.0,650000.0,1.666666667,1.435481125,6,1,20,1.666666667,1.435481125,6,1,0,0.0,0.0,0,0,0,0,0,0,260,0,650000.0,0.0,50,50,50.0,0.0,0.0,0,0,0,0,0,0,0,0,0,53.84615385,50.0,0.0,260,0,0,0,0,0,0,13,650,0,0,-1,-1,12,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,86404,4,2,164,204,41,41,41.0,0.0,102,102,102.0,0.0,4259.06208,69.44122957,17280.8,25281.48641,55801,3,30600,10200.0,17661.72208,30594,3,3,3.0,0.0,3,3,0,0,0,0,128,40,46.29415305,23.14707652,41,102,58.42857143,29.76495222,885.952381,0,0,0,0,0,0,0,0,0,68.16666667,41.0,102.0,128,0,0,0,0,0,0,4,164,2,204,-1,-1,3,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,24378,1,1,51,116,51,51,51.0,0.0,116,116,116.0,0.0,6850.43892,82.04118467,24378.0,0.0,24378,24378,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,32,41.02059234,41.02059234,51,116,72.66666667,37.5277675,1408.333333,0,0,0,0,0,0,0,0,1,109.0,51.0,116.0,20,0,0,0,0,0,0,1,51,1,116,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,23821,2,2,136,300,68,68,68.0,0.0,150,150,150.0,0.0,18303.17787,167.919063,7940.333333,13746.99859,23814,3,3,3.0,0.0,3,3,4,4.0,0.0,4,4,0,0,0,0,40,40,83.95953151,83.95953151,68,150,100.8,44.91324972,2017.2,0,0,0,0,0,0,0,0,1,126.0,68.0,150.0,40,0,0,0,0,0,0,2,136,2,300,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,48142,4,2,140,452,35,35,35.0,0.0,226,226,226.0,0.0,12296.95484,124.6312991,9628.4,13899.99411,30312,3,30319,10106.33333,17498.62064,30312,3,3,3.0,0.0,3,3,0,0,0,0,80,40,83.08753272,41.54376636,35,226,89.57142857,93.19845697,8685.952381,0,0,0,0,0,0,0,0,0,104.5,35.0,226.0,80,0,0,0,0,0,0,4,140,2,452,-1,-1,3,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,270,2,2,68,168,34,34,34.0,0.0,84,84,84.0,0.0,874074.0741,14814.81481,90.0,154.1525219,268,1,1,1.0,0.0,1,1,1,1.0,0.0,1,1,0,0,0,0,64,64,7407.407407,7407.407407,34,84,54.0,27.38612788,750.0,0,0,0,0,0,0,0,0,1,67.5,34.0,84.0,64,0,0,0,0,0,0,2,68,2,168,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,30605,1,1,48,160,48,48,48.0,0.0,160,160,160.0,0.0,6796.275118,65.34879922,30605.0,0.0,30605,30605,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,32.67439961,32.67439961,48,160,85.33333333,64.66323015,4181.333333,0,0,0,0,0,0,0,0,1,128.0,48.0,160.0,20,0,0,0,0,0,0,1,48,1,160,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
